stat_id,year,indicator,category,value,unit,source_organisation,source_url,methodology_note
NS-001,2025,Workplace deaths (media-derived survey),Fatality,802,deaths,Safety and Rights Society (SRS),https://safetyandrights.org/,Compiled from reports in 15 national and 11 local newspapers; SRS states the true figure is higher because not all accidents are reported
NS-002,2025,Workplace accidents (media-derived survey),Accident,713,accidents,Safety and Rights Society (SRS),https://www.tbsnews.net/bangladesh/fragile-workplace-safety-bangladesh-linked-802-deaths-2025-survey-1323496,Same survey as NS-001
NS-003,2024,Workplace deaths (media-derived survey),Fatality,758,deaths,Safety and Rights Society (SRS),https://safetyandrights.org/758-workers-killed-in-workplace-accidents-across-bangladesh-in-2024/,Prior-year comparator for NS-001
NS-004,2024,Workplace accidents (media-derived survey),Accident,639,accidents,Safety and Rights Society (SRS),https://safetyandrights.org/758-workers-killed-in-workplace-accidents-across-bangladesh-in-2024/,Prior-year comparator for NS-002
NS-005,2025,Workplace deaths - transport sector,Fatality by sector,385,deaths,Safety and Rights Society (SRS),https://www.tbsnews.net/bangladesh/fragile-workplace-safety-bangladesh-linked-802-deaths-2025-survey-1323496,Largest single sector; drives the case for yard and transport controls
NS-006,2025,Workplace deaths - service sector (workshops gas electricity),Fatality by sector,145,deaths,Safety and Rights Society (SRS),https://www.tbsnews.net/bangladesh/fragile-workplace-safety-bangladesh-linked-802-deaths-2025-survey-1323496,
NS-007,2025,Workplace deaths - construction,Fatality by sector,120,deaths,Safety and Rights Society (SRS),https://www.tbsnews.net/bangladesh/fragile-workplace-safety-bangladesh-linked-802-deaths-2025-survey-1323496,
NS-008,2025,Workplace deaths - agriculture,Fatality by sector,94,deaths,Safety and Rights Society (SRS),https://www.tbsnews.net/bangladesh/fragile-workplace-safety-bangladesh-linked-802-deaths-2025-survey-1323496,Sharp increase in lightning-related fatalities noted
NS-009,2025,Workplace deaths - factories,Fatality by sector,58,deaths,Safety and Rights Society (SRS),https://www.tbsnews.net/bangladesh/fragile-workplace-safety-bangladesh-linked-802-deaths-2025-survey-1323496,The directly comparable sector for a food and dairy manufacturing site
NS-010,2025,Workplace deaths (independent monitor),Fatality,1190,deaths,OSHE Foundation,https://www.healthandsafetyinternational.com/article/1944101/workplace-death-toll-hits-1190-bangladesh-2025-report-finds,Different methodology from SRS; informal sector accounts for 84% of incidents. The SRS and OSHE figures must never be summed or used interchangeably
NS-011,2025,Fire incidents nationwide,Fire,27059,incidents,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/over-27000-fires-2025-75-day-average-fire-service-report-1357271,Average 75 incidents per day
NS-012,2025,Civilian deaths in fire incidents,Fire,85,deaths,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/over-27000-fires-2025-75-day-average-fire-service-report-1357271,Plus 3 FSCD personnel killed
NS-013,2025,Civilian injuries in fire incidents,Fire,267,injuries,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/over-27000-fires-2025-75-day-average-fire-service-report-1357271,Plus 17 FSCD personnel injured
NS-014,2025,Fires caused by electrical short circuit,Fire cause,9392,incidents,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/over-27000-fires-2025-75-day-average-fire-service-report-1357271,34.71% of all incidents - the single largest ignition source nationally
NS-015,2025,Fires caused by burning cigarettes,Fire cause,4269,incidents,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/over-27000-fires-2025-75-day-average-fire-service-report-1357271,15.78% of all incidents
NS-016,2025,Fires caused by stoves,Fire cause,2909,incidents,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/over-27000-fires-2025-75-day-average-fire-service-report-1357271,10.75% of all incidents
NS-017,2025,Fires caused by gas cylinder leak,Fire cause,920,incidents,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/over-27000-fires-2025-75-day-average-fire-service-report-1357271,3.40% of all incidents
NS-018,2025,Fires caused by gas supply line leak,Fire cause,562,incidents,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/over-27000-fires-2025-75-day-average-fire-service-report-1357271,2.08% of all incidents
NS-019,2025,Fires caused by gas cylinder explosion,Fire cause,121,incidents,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/over-27000-fires-2025-75-day-average-fire-service-report-1357271,0.45% of all incidents
NS-020,2025,Fires caused by chemical incidents,Fire cause,38,incidents,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/over-27000-fires-2025-75-day-average-fire-service-report-1357271,0.14% of all incidents
NS-021,2025,Property damage from fire,Fire loss,5699700000,BDT,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/over-27000-fires-2025-75-day-average-fire-service-report-1357271,Tk 569.97 crore converted to BDT
NS-022,2025,Property saved by FSCD intervention,Fire loss,32636200000,BDT,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/over-27000-fires-2025-75-day-average-fire-service-report-1357271,Tk 3263.62 crore converted to BDT
NS-023,2024,Fire incidents nationwide,Fire,26659,incidents,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/country-witnesses-26659-fire-incidents-140-deaths-2024-fscd-1054826,Prior-year comparator for NS-011
NS-024,2024,Deaths in fire incidents,Fire,140,deaths,Fire Service and Civil Defence (FSCD),https://www.tbsnews.net/bangladesh/country-witnesses-26659-fire-incidents-140-deaths-2024-fscd-1054826,Prior-year comparator for NS-012
NS-025,2021,DIFE total staff strength,Regulatory capacity,500,staff,"DIFE Annual Report 2021 via CPD/FES post-Accord study",https://bangladesh.fes.de/fileadmin/user_upload/Industrial-Safety-in-the-RMG-Sector-in-the-Post-Accord-Alliance-Era.pdf,Stated as fewer than 500 total staff
NS-026,2021,DIFE labour inspectors,Regulatory capacity,231,inspectors,"DIFE Annual Report 2021 via CPD/FES post-Accord study",https://bangladesh.fes.de/fileadmin/user_upload/Industrial-Safety-in-the-RMG-Sector-in-the-Post-Accord-Alliance-Era.pdf,Inspectors monitoring factory-level compliance nationwide; establishes why self-regulation capability is decisive
NS-027,2021,Factories with a constituted Safety Committee,Governance,93,percent,"CPD/FES post-Accord-Alliance study",https://bangladesh.fes.de/fileadmin/user_upload/Industrial-Safety-in-the-RMG-Sector-in-the-Post-Accord-Alliance-Era.pdf,Study concludes the failure point is committee functionality rather than formation
NS-028,2020,Garment factories with fire accidents,Fire,222,factories,Bangladesh Fire Service and Civil Defence via CPD,https://bangladesh.fes.de/fileadmin/user_upload/Industrial-Safety-in-the-RMG-Sector-in-the-Post-Accord-Alliance-Era.pdf,66 percent of them export-oriented
