hazard_id,area,activity,hazard_category,hazard_description,potential_consequence,existing_controls,likelihood_initial,severity_initial,additional_controls,control_hierarchy,likelihood_residual,severity_residual,legal_reference,iso45001_clause,responsible,review_frequency_months,control_status
HZ-RFG-01,Refrigeration Plant,Ammonia compressor operation and routine top-up,Chemical,Anhydrous ammonia (R-717) release from compressor seal / flange / relief valve on the primary refrigeration circuit,"Acute inhalation injury, chemical burns to eyes and respiratory tract, fatality above IDLH 300 ppm; potential flammable atmosphere at 15-28 vol% in air",Plant room ventilation; annual pressure vessel certificate; operator on shift,4,5,Fixed NH3 gas detectors at 25 ppm alarm / 300 ppm trip interlocked to emergency ventilation and compressor shutdown; two SCBA sets plus 4 full-face ammonia cartridge respirators at the plant-room entrance; emergency deluge shower and eye wash within 10 m; NH3-specific ERP with exclusion zoning and wind-direction assembly points; competency licence for refrigeration operators; restricted access,Engineering + Administrative,2,4,BLR 60 & 62 (pressure plant certificate); BLA 62 (precautions against fire and dangerous fumes); BLA 78A (training),8.2 / 6.1.2,Manager - Utilities,6,Proposed
HZ-RFG-02,Refrigeration Plant,Maintenance on ammonia lines and valves,Energy,Stored pressure and trapped liquid ammonia released during line breaking without isolation or pump-down,"Severe chemical burns, frostbite from liquid NH3, asphyxiation in confined plant room",Verbal isolation instruction to fitters,4,5,"Written LOTO procedure with unique padlocks and personal danger tags; line-breaking permit requiring pump-down, double block and bleed, and nitrogen purge verification; gas test before and during work; standby person outside the plant room",Administrative,2,4,BLA 62; BLR 60; BLR 68 (dangerous operations),8.1.2 / 8.1.3,Manager - Maintenance,6,Proposed
HZ-RFG-03,Cold Store,Entry into chilled and frozen finished-goods store,Physical,"Cold stress, slips on ice build-up, personnel locked inside, forklift movement in restricted visibility","Hypothermia, fractures from falls, crush injury, entrapment",Insulated jackets issued; door kept on latch,3,3,Internal door-release and emergency alarm inside the store; man-in-store register with time limits; anti-slip flooring and scheduled defrost; pedestrian walkway segregation with mirrors at blind corners,Engineering + Administrative,2,2,BLA 51-59 (health and hygiene); BLR 68,8.1.2,Cold Chain Officer,12,Implemented
HZ-PWD-01,Powder Blending & Packing,Tipping 25 kg milk-powder bags into blender and hopper,Fire/Explosion,"Combustible milk-powder dust cloud in the blender headspace and dust extraction ducting; ignition from static discharge, hot bearing or electrical fault","Deflagration and secondary dust explosion, structural damage, multiple fatalities and severe burns",Dust extraction at tipping point; housekeeping by sweeping,3,5,"Dust hazard analysis to NFPA 61; earthing and bonding continuity testing of all conductive plant and operator wrist straps; ATEX/EX-rated electrical fittings and dust-tight luminaires in the classified zone; explosion venting or suppression on the blender and cyclone; ban on compressed-air blow-down, replaced with certified vacuum cleaning; monthly dust-layer inspection above false ceilings and on beams",Engineering + Substitution,2,4,BLA 62 (precautions in case of fire); BLA 61 (fencing of machinery); BNBC 2020 Part 4,8.1.2 / 6.1.2,Manager - Production,6,Proposed
HZ-PWD-02,Powder Blending & Packing,Manual handling of 25 kg raw-material sacks,Ergonomic,Repetitive lifting and carrying of heavy sacks at floor level with trunk flexion and twisting,"Lower-back musculoskeletal disorder, chronic disability, lost-time injury",Two-person lift instruction,4,2,Scissor-lift tables and vacuum bag lifters at the tipping station; pallet height maintained between knee and shoulder; job rotation every two hours; documented manual-handling training with a lifting-technique assessment; task redesign to bulk-bag (500 kg) feed where volume justifies it,Engineering + Administrative,2,2,BLA 74 (excessive weights); BLR 63,6.1.2 / 7.2,Manager - Production,12,In progress
HZ-PWD-03,Powder Packing,Nitrogen flushing of powder pouches and cans,Chemical,Oxygen displacement by nitrogen at the sealing head and in low-lying pits or unventilated corners,"Asphyxiation without warning, loss of consciousness and death",Local exhaust at the sealing head,2,5,Fixed oxygen depletion monitors with audible/visual alarm at 19.5% O2; portable multi-gas detector for anyone entering pits or ducts; no-lone-working rule near N2 lines; clear labelling and colour-coding of N2 pipework,Engineering,1,4,BLA 62; BLR 68,8.1.2,Manager - Utilities,12,Implemented
HZ-PWD-04,Powder Blending & Packing,Operating rotary valves and packing machinery,Mechanical,"Unguarded in-running nips at the rotary valve, auger, conveyor and sealing jaw","Amputation of fingers or hand, crush injury, entanglement",Fixed guards on some units; caution signage,3,4,Guard audit against BLA 61 with interlocked guards on all access doors; two-hand controls and emergency stop within reach on every station; LOTO applied to every clearance and cleaning task; guard-removal treated as a permit activity,Engineering,2,3,BLA 61 (fencing of machinery); BLA 63 (self-acting machines); BLR 61,8.1.2,Manager - Maintenance,6,In progress
HZ-FRY-01,Noodle & Snack Frying Line,Operation of continuous palm-oil fryer at 140-180 C,Fire/Explosion,"Hot-oil fire from thermostat failure, overheating or oil overflow onto burners; fire spread through the extraction canopy and grease-laden ductwork","Severe full-thickness burns, fatality, total loss of the production hall",Portable CO2 extinguishers; manual temperature gauge,3,5,High-temperature cut-out independent of the control thermostat; automatic wet-chemical (Class F) suppression over the fryer and inside the canopy with fuel/gas auto-shutoff; scheduled duct degreasing with records; oil-level low/high alarms; oil-spill containment and non-slip surface around the fryer; ban on water-based extinguishers in the area,Engineering,2,4,BLA 62; Fire Prevention and Extinction Act 2003 ss.4 & 8; BNBC 2020 Part 4,8.2 / 8.1.2,Manager - Production,6,Proposed
HZ-FRY-02,Noodle & Snack Frying Line,Draining and changing hot frying oil,Physical,Contact with oil above 100 C during draining and transfer,"Severe scald burns to hands, arms, legs and face",Long-sleeve uniform; drain when convenient,4,4,"Mandatory cool-down to below 50 C with a verified temperature reading before draining, recorded on the changeover checklist; closed pumped transfer to a sealed drum instead of open ladling; heat-resistant gauntlets, apron and face shield; exclusion barrier during transfer",Substitution + PPE,2,3,BLA 62; BLA 78A,8.1.2,Shift Supervisor,12,In progress
HZ-BAK-01,Biscuit & Wafer Baking,Operation of gas-fired tunnel oven,Fire/Explosion,"Unburnt natural gas accumulation in the oven chamber from failed ignition, flame failure or leaking train","Gas explosion, structural collapse of the oven, multiple burn casualties",Manual purge before light-up,3,5,"Certified burner management system with proven pre-purge, flame-supervision and automatic safety shut-off valves; annual third-party gas-train integrity test; gas detection in the oven bay with automatic isolation; light-up authorised only by a trained and named operator",Engineering,1,4,BLA 62; Fire Prevention and Extinction Act 2003; BNBC 2020 Part 8,8.1.2,Manager - Maintenance,6,In progress
HZ-BLR-01,Boiler House,Steam boiler operation and blowdown,Physical,"Pressure-vessel failure, steam release during blowdown, contact with uninsulated steam lines","Catastrophic vessel rupture, fatal scalding, severe burns",Boiler licensed operator; gauge glass checked per shift,2,5,Valid Chief Inspector of Boilers certificate displayed and diarised for renewal; safety-valve lift test and hydraulic test on schedule with records; low-water cut-out and dual level control proven weekly; lagging survey of all steam and condensate lines with a repair backlog register; blowdown procedure with dedicated PPE and a fixed blowdown vessel,Engineering + Administrative,1,4,Boilers Act and Rules; BLR 60 & 62 (pressure plant); BLA 62,8.1.2 / 9.1.2,Manager - Utilities,6,Implemented
HZ-BLR-02,Boiler House,Boiler internal inspection and tube cleaning,Confined Space,Entry into the boiler shell or furnace with residual heat and oxygen deficiency,"Asphyxiation, heat stroke, burns, entrapment",Entry after shutdown at supervisor's discretion,3,5,"Confined-space entry permit as a stand-alone permit class; atmospheric testing for O2, CO, and combustibles before and continuously during entry; forced-air ventilation; trained standby attendant with entry log and rescue plan including a tripod and harness; LOTO on fuel, feedwater and steam isolations",Administrative,1,4,BLR 68 (dangerous operations); BLA 62; BLA 79c (health check for dangerous operations),8.1.2 / 8.2,HSE Executive,6,Proposed
HZ-CIP-01,CIP & Chemical Store,Handling caustic soda (NaOH) and nitric acid for clean-in-place,Chemical,"Splash, spray-back or mis-connection during chemical dosing, dilution and line connection","Chemical burns to eyes and skin, permanent blindness, inhalation injury",Gloves issued; chemicals stored in the CIP room,4,4,"Closed-loop dosing with keyed and colour-coded couplings to prevent mis-connection; segregated and bunded storage of acid and alkali with secondary containment at 110% of the largest vessel; SDS in Bangla and English at the point of use; emergency shower and eye wash within 10 seconds' travel, tested weekly; chemical-splash goggles, face shield, apron and gauntlets specified per task; spill kit and neutralising agent",Engineering + Administrative,2,3,BLA 62 (dangerous fumes); BLR 68; Environment Conservation Rules 1997,8.1.2 / 7.4,Manager - Quality,6,In progress
HZ-CIP-02,Process Tanks & Silos,"Entry into milk silos, balance tanks and mixing vessels for cleaning or repair",Confined Space,"Residual caustic, oxygen deficiency, unexpected agitator start-up, engulfment",Fatality by asphyxiation or drowning in residual liquid; amputation by agitator,Tank cleaned before entry; buddy present,3,5,"Confined-space permit with a register of all confined spaces on site and their hazard profile; LOTO on agitator drive, inlet valves and CIP supply, verified by a try-out; gas test and continuous monitoring; harness with retrieval line and a rehearsed rescue plan; annual confined-space rescue drill with FSCD participation",Administrative,1,4,BLR 68; BLA 62; BLA 79c,8.1.2 / 8.2,HSE Executive,6,Proposed
HZ-ELE-01,Substation & MCC Rooms,"Switching, panel work and fault finding on LV/HV equipment",Electrical,"Electric shock and arc flash from live working, inadequate isolation or missing panel doors","Electrocution fatality, arc-flash burns, cardiac arrest",Only electricians allowed; rubber mat at some panels,3,5,"Electrical safety rules with a permit for any work above 415 V; LOTO with proving dead using a proven tester before touching; arc-flash study and labelling of incident energy with matched arc-rated PPE; insulated mats, shrouded terminals and IP-rated enclosures; annual thermographic survey of all panels; competency certification for every electrician",Engineering + Administrative,2,4,BLR 58 (electrical system certificate); BLA 62; Electricity Act,8.1.2 / 7.2,Manager - Maintenance,6,In progress
HZ-ELE-02,Whole Site,Uncontrolled temporary and extension wiring in production and packing areas,Electrical,"Overloaded sockets, damaged insulation, joints without junction boxes; ignition source in a dust-classified zone","Fire origin, electrocution; short circuit is the single largest recorded fire cause nationally (34.71% of 2025 incidents)",Electrician repairs on report,4,4,"Ban on permanent use of temporary wiring with a 30-day maximum permit; monthly electrical-safety walk with a photographic non-conformance register; RCD/ELCB protection on all portable-tool circuits, tested six-monthly; portable appliance testing programme with pass labels",Administrative + Engineering,2,3,BLR 58; BLA 62; BNBC 2020 Part 8,8.1.2 / 9.1.1,Manager - Maintenance,6,Proposed
HZ-HOT-01,Whole Site,"Welding, grinding and cutting during maintenance and projects",Fire/Explosion,"Sparks and hot slag igniting powder dust layers, packaging film, cardboard, oil residue or insulation","Major fire, business interruption, burn injuries, fatality",Fire extinguisher brought to the job,4,5,"Hot Work Permit valid for one shift only, with a documented fire watch during work and for 60 minutes afterwards; 11 m clearance or fire blankets over all combustibles; gas test in areas with dust or flammable vapour; alternative cold-cutting methods considered first; permit register reviewed weekly by the HSE Executive",Substitution + Administrative,2,4,BLA 62; Fire Prevention and Extinction Act 2003 ss.4 & 8; BNBC 2020 Part 4,8.1.2 / 8.1.4,HSE Executive,6,Proposed
HZ-HGT-01,Whole Site,"Work at height on silo tops, roofs, oven platforms and light fittings",Physical,"Fall from height due to unprotected edges, fragile roof sheets and use of unsuitable ladders","Fatal fall, spinal injury, permanent disability; falls from height are a leading national fatality cause",Ladders available; workers told to be careful,4,5,Work-at-Height Permit above 1.8 m; fixed guardrails and static lines on all silo tops and roof access routes; fragile-roof marking and crawl boards; full-body harness with a double lanyard and a written rescue-from-height plan; ladder register with quarterly inspection tags; mobile elevating work platform for routine high-level lighting work,Engineering + Administrative,2,4,BLA 62; BLR 68; BNBC 2020 Part 3,8.1.2 / 8.2,HSE Executive,6,Proposed
HZ-MHE-01,Warehouse & Yard,Forklift and pallet-truck movement around pedestrians,Mechanical,"Pedestrian struck by forklift, load falling from forks, rack collision and collapse","Fatal crush injury, fractures, rack collapse burying personnel",Trained drivers; horn at corners,4,5,"Physically segregated pedestrian walkways with barriers and marked crossings; site speed limit of 10 km/h with a monitored telematics or key-card system; daily pre-use checklist per truck; blue-spot and reversing alarms; annual racking integrity inspection to a recognised standard with a damage-reporting process; licensed operators only, revalidated every three years",Engineering + Administrative,2,4,BLA 61; BLR 63; BLA 78A,8.1.2 / 7.2,Warehouse Manager,6,Proposed
HZ-MHE-02,Warehouse,Stacking and de-stacking of finished-goods pallets at height,Physical,Falling cases and unstable stacks during retrieval,Head and crush injuries to pedestrians and operators,Maximum stack height instruction,3,3,Load-height limits enforced by rack beam labelling and floor marking; pallet-condition inspection before racking; stretch-wrapping standard specified and audited; hard hats mandatory in the racking aisles; exclusion zone during high-level picking,Administrative,2,2,BLA 61; BLR 63,8.1.2,Warehouse Manager,12,Implemented
HZ-NOI-01,Compressor Room / Packing Hall / Blower Deck,Continuous exposure to plant noise,Physical,"Noise levels expected above 85 dB(A) at compressors, blowers, packing machines and the fryer extraction fan","Permanent noise-induced hearing loss, tinnitus, impaired communication in emergencies",Ear plugs available in the store,4,3,Octave-band noise survey and a site noise contour map; acoustic enclosures on compressors and blowers as the first control; posted hearing-protection zones with signage; issued and fit-tested hearing protection matched to the measured level; audiometric baseline and annual screening for exposed workers,Engineering + Administrative,2,2,BLA 62; BLR 68; BLA 79c,6.1.2 / 9.1.1,HSE Executive,12,Proposed
HZ-THM-01,"Frying, Baking & Boiler Areas","Work in high radiant-heat zones, especially April to September",Physical,Heat stress from ambient temperature above 35 C combined with radiant heat and high humidity,"Heat exhaustion, heat stroke, dehydration, collapse and secondary injury",Drinking water provided,4,3,"WBGT monitoring at the fryer, oven and boiler with a published work-rest schedule by heat index; insulation of hot surfaces and spot cooling with air movers; electrolyte drinks and an air-conditioned rest area; heat-illness recognition training for supervisors; acclimatisation protocol for new and returning workers",Engineering + Administrative,2,2,BLA 51-59; BLR 50 (drinking water); BLA 79c,6.1.2 / 8.1.2,HSE Executive,12,Proposed
HZ-SLP-01,Whole Site,"Movement on wet process floors in the milk, CIP and washing areas",Physical,"Slip on wet, oily or powder-dusted floors; trip on hoses and cables","Fractures, head injury, sprains; consistently the highest-frequency injury type in food plants",Mopping when noticed,5,2,Drainage-gradient survey and repair of ponding areas; anti-slip flooring or coatings in wet zones with a measured pendulum test value; hose-management stations and cable routing above head height; mandatory slip-resistant footwear specified by rating and issued to all process staff; wet-floor signage and a defined cleaning-window schedule,Engineering,2,2,BLA 51-59 (health and hygiene); BLR 50,8.1.2,Manager - Production,12,Proposed
HZ-CON-01,Whole Site,Contractor and project work on site,Organisational,"Contractors working outside the site HSE system without induction, insurance or method statements","Contractor fatality with full legal liability on the principal employer, uncontrolled introduction of new hazards",Gate pass issued by security,4,5,Pre-qualification of contractors on HSE criteria before award; mandatory site induction with a photo ID badge that expires; approved method statement and risk assessment reviewed before mobilisation; permit-to-work applies equally to contractors; daily contractor toolbox talk with attendance record; contractor HSE performance scored and fed back into the vendor list,Administrative,2,4,BLA 62; BLA 78A; BLA 150 (employer liability),8.1.4 / 5.4,HSE Executive,6,Proposed
HZ-EMR-01,Whole Site,Emergency evacuation from production and warehouse buildings,Fire/Explosion,"Blocked or locked escape routes, insufficient exit width, inadequate assembly control, night-shift staffing gaps",Mass-casualty event; the RMG sector's fire history in Bangladesh is the reference case for this failure mode,Fire drill conducted occasionally; extinguishers in place,3,5,"Two independent means of escape from every occupied area, never locked during production, audited weekly; emergency lighting and photoluminescent exit signage tested monthly; fire alarm and detection covering the powder, fryer and warehouse zones; documented evacuation drill at least every three months including one night-shift and one shelter-in-place ammonia drill per year, with timed muster and a formal debrief; trained fire team and first-aiders on every shift with a coverage roster",Engineering + Administrative,1,4,BLA 62; BLA 89; Fire Prevention and Extinction Act 2003 ss.4 & 8; BNBC 2020 Part 4,8.2 / 7.3,HSE Executive,3,Proposed
HZ-EMR-02,Whole Site,First aid and medical response,Organisational,"Insufficient first-aid coverage and no defined route to definitive care for a serious burn, ammonia or crush casualty",Preventable death or permanent disability from delayed treatment,First-aid box in the office,3,4,First-aid boxes to the prescribed scale with a monthly stock check; certified first-aiders on every shift with names posted; burn-specific and ammonia-specific first-aid protocols displayed at the fryer and refrigeration plant; a written arrangement with the nearest burn-capable hospital and a dedicated emergency vehicle on site; injury-response drill twice a year,Administrative,2,3,BLA 89 (first aid); BLR 76-78; BLA 79c,8.2,HSE Executive,12,In progress
HZ-ENV-01,ETP & Discharge Point,Effluent treatment plant operation and discharge,Environmental,Discharge of high-BOD/COD dairy and caustic effluent outside the standards; ETP bypass or overload during peak CIP,"Environmental prosecution, ECC renewal refused, fish kill and community complaint, reputational loss",ETP operated by an operator; occasional testing,3,4,"Continuous pH and flow monitoring with logging at the discharge point; monthly third-party BOD, COD, TSS and oil-and-grease testing against Environment Conservation Rules 1997 Schedule 10; balancing-tank capacity sized for peak CIP load; interlock preventing discharge outside the permitted pH band; valid Environmental Clearance Certificate tracked for renewal; sludge disposal manifest",Engineering + Administrative,2,3,Environment Conservation Act 1995; Environment Conservation Rules 1997 (ECC and discharge standards),8.1.2 / 9.1.2,Manager - Utilities,6,Proposed
HZ-ENV-02,Boiler House & Generator,Stack emissions and ambient air quality at the plant boundary,Environmental,"Boiler and generator stack emissions of PM, SOx and NOx adding to an already heavily loaded ambient airshed","Regulatory non-compliance, community exposure, worker exposure at intake points",Stack in place; no monitoring programme,3,3,Bi-annual stack monitoring against Environment Conservation Rules 1997 standards; fuel-quality specification and records; boundary PM2.5/PM10 monitoring with results benchmarked against the national ambient dataset; siting of fresh-air intakes away from stack downwash; combustion tuning programme,Engineering + Administrative,2,2,Environment Conservation Rules 1997 (emission standards),9.1.1 / 6.1.3,Manager - Utilities,12,Proposed
HZ-ENV-03,Whole Site,Ambient particulate exposure of outdoor and yard workers,Environmental,"Ambient PM2.5 in the Dhaka industrial belt regularly exceeds WHO guideline levels, adding to occupational exposure for yard, loading and security staff","Chronic respiratory and cardiovascular morbidity, absenteeism, reduced fitness for work",,4,3,Daily AQI-triggered work-adjustment protocol using the site's own PM2.5 feed and the national ambient dataset; scheduling of heavy outdoor work outside the winter peak-pollution window where feasible; enclosed and positively pressurised gatehouse and loading office; respiratory protection issued on high-AQI days for sustained outdoor work; annual respiratory health screening for outdoor-assigned staff,Administrative + PPE,3,2,Environment Conservation Act 1995; BLA 51-59; BLA 79c,6.1.2 / 8.1.2,HSE Executive,12,Proposed
HZ-ORG-01,Whole Site,"Reporting of hazards, near misses and minor injuries",Organisational,"Under-reporting culture, with fear of blame suppressing near-miss and first-aid reporting","Loss of the leading-indicator signal, repeat incidents escalating to serious injury",Accidents reported to the supervisor verbally,5,3,Anonymous and named reporting channels including a mobile form and physical cards; a published just-culture policy signed by the Managing Director; near-miss target set as a positive KPI rather than a penalty; monthly recognition for the highest-quality report; every report closed out with visible feedback to the reporter within seven days,Administrative,2,2,BLA 80 (notice of accident); BLR 73; Schedule IV(2),10.2 / 5.4,HSE Executive,6,Proposed
HZ-ORG-02,Whole Site,Statutory Safety Committee operation,Organisational,"Safety Committee constituted on paper only, without quarterly meetings, worker parity or closed actions","Legal non-conformance, loss of worker participation, DIFE enforcement action; 93% of factories in one national study had a committee but functionality was the failure point",Committee formed at registration,4,3,"Committee reconstituted to BLR 81 with 50:50 worker-management parity and 6-12 members by headcount; minuted quarterly meetings to BLR Schedule IV(3) with a tracked action register; worker representatives nominated by workers, not appointed; annual committee training; minutes posted on the shop-floor notice board in Bangla",Administrative,2,2,BLA 90A; BLR 81 & 84; BLR Schedule IV(3),5.4 / 5.3,Head of HR,6,In progress
HZ-ORG-03,Whole Site,Induction and job-specific HSE training,Organisational,"New, transferred and seasonal workers put to work before hazard-specific training, especially at peak production","Higher injury rate among short-tenure workers, invalid defence in the event of prosecution",Verbal briefing by the supervisor,4,4,Training-needs matrix by job role with a competence register; a rule that no worker starts a task before signed-off induction and job-specific training; toolbox talk programme with a rolling annual topic calendar; refresher intervals defined per hazard class; effectiveness verified by observation and not only by attendance signature,Administrative,2,3,BLA 78A (training); BLR 79; BLA 62,7.2 / 7.3,Head of HR,12,In progress
HZ-ORG-04,Whole Site,"Management of change for new plant, products and layout",Organisational,"New lines, chemicals, machinery or layout changes commissioned without a pre-start HSE review","Reintroduction of controlled hazards, unguarded new machinery, unassessed chemicals entering site",Engineering informs HSE informally,4,4,"Mandatory management-of-change procedure with an HSE sign-off gate before commissioning; pre-start safety review checklist covering guarding, LOTO points, emergency stops, ventilation and permit needs; new-chemical approval gate requiring an SDS review before purchase; HIRA updated and re-issued within 30 days of any change",Administrative,2,3,BLA 61-62; BLR 60-62,8.1.3 / 8.1.4,HSE Executive,12,Proposed
