req_id,domain,iso45001_clause,iso45001_title,bd_legal_reference,requirement,evidence_required,verification_method,frequency,criticality
CM-01,Leadership,5.1,Leadership and commitment,BLA 2006 s.62; s.150,Top management demonstrates accountability for prevention of work-related injury and ill health,"Signed HSE policy, MD's documented HSE commitment, HSE on the management-review agenda",Document review + interview,Annual,High
CM-02,Leadership,5.2,OH&S policy,BLA 2006 s.62,Written OH&S policy communicated in a language workers understand,"Bilingual policy displayed on notice boards, induction records",Site walk + document review,Annual,High
CM-03,Leadership,5.3,Roles and responsibilities,BLR 2015 r.81(3-6),Defined HSE roles from the Manager Security Health & Safety down to line supervisors,"Organogram, job descriptions with HSE accountabilities, appointment letters",Document review,Annual,High
CM-04,Worker participation,5.4,Consultation and participation of workers,BLA 2006 s.90A; BLR 2015 r.81 & r.84,Safety Committee mandatory where 50 or more workers are employed with 50:50 worker-management parity and 6-12 members by headcount,"Constitution letter, member list showing worker nomination, quarterly minutes, action register",Document review + worker interview,Quarterly,Critical
CM-05,Worker participation,5.4,Consultation and participation of workers,BLR 2015 Schedule IV(3),Safety Committee meets at least once every three months,Four sets of minutes per year with attendance and closed actions,Document review,Quarterly,Critical
CM-06,Hazard management,6.1.2,Hazard identification and assessment of risks,BLA 2006 s.61-62; BLR 2015 r.68,Systematic hazard identification and risk assessment covering routine and non-routine activities,"HIRA register with initial and residual risk scoring, JSA for high-risk tasks, review dates",Document review + field verification,Annual and on change,Critical
CM-07,Legal,6.1.3,Determination of legal requirements,BLA 2006; BLR 2015; BNBC 2020; ECA 1995,Maintained register of applicable HSE legal requirements with compliance status,"Legal register with citation, applicability, owner and evidence",Document review,Semi-annual,High
CM-08,Objectives,6.2.1,OH&S objectives,BLA 2006 s.62,Measurable HSE objectives with leading and lagging indicators,"Annual HSE objectives, KPI dashboard, progress reviews",Document review,Annual,Medium
CM-09,Competence,7.2,Competence,BLA 2006 s.78A,Workers competent on the basis of education and training appropriate to their hazards,"Training matrix by role, attendance and assessment records, competency certificates for boiler, electrical and forklift operators",Records audit + competence check,Annual,Critical
CM-10,Awareness,7.3,Awareness,BLA 2006 s.78A; BLR 2015 r.79,"Workers aware of hazards, the OH&S policy, their right to remove themselves from danger and their protection from reprisal","Induction records, toolbox talk records, signed just-culture policy",Worker interview,Annual,High
